func_id,prefix,globals
155456,sqimap_msgs_list_copy_0_,uid_support
65345,update_for_folder_0_,username;data_dir;plugins
227138,createAddressObject_0_,
215509,calculate_references_0_,
225653,parseField_0_,
75593,parse_banner_0_,
161612,sqimap_get_small_header_0_,
73698,top_0_,
134990,sqsetcookie_0_,only_secure_cookies;is_secure_connection
122703,charset_decode_1_,default_charset
77648,squirrelmail_plugin_init_info_0_,squirrelmail_plugin_hooks
120657,search_0_,
143191,decodeHeader_0_,languages;default_charset;squirrelmail_language
202585,unicodetocp1251_0_,
174394,get_field_name_0_,
178014,showMessagesForMailbox_0_,auto_expunge;msgs;server_sort_order;thread_sort_messages;msort;allow_server_sort
77666,info_opt_0_,optpage_blocks
85859,select_option_year_0_,
63335,filters_spam_check_site_0_,SpamFilters_CacheTTL;SpamFilters_DNScache
204648,fixcharset_0_,
130921,sq_fwrite_0_,
132970,savePrefValues_0_,prefs_cache
180078,printHeader_0_,imap_server_type;index_order;internal_date_sort
147311,sq_deent_0_,
223094,parseDisposition_1_,
67447,squirrelmail_plugin_init_mail_fetch_0_,squirrelmail_plugin_hooks
73595,login_0_,
122753,ldapspecialchars_0_,
61314,filters_bulkquery_0_,username;SpamFilters_YourHop;SpamFilters_BulkQuery;SpamFilters_CacheTTL;attachment_dir;SpamFilters_DNScache
212867,getBCC_0_,
139141,concat_hook_function_0_,squirrelmail_plugin_hooks
69511,decrypt_0_,
14216,getMessage_RFC822_Attachment_0_,username;attachment_dir;data_dir;uid_support
155531,sqimap_msgs_list_move_0_,
157581,elapsedTime_0_,
77710,get_caps_0_,
190353,charset_decode_cp1253_0_,
212882,prepareMIME_Header_0_,username;attachment_dir
203930,sq_change_text_domain_0_,use_gettext
130967,sq_is8bit_0_,default_charset
219037,echoHtml_0_,
210846,removePref_1_,prefs_cache
230566,Disposition_0_,
85921,select_option_month_0_,
128936,sqUnWordWrap_0_,squirrelmail_language
90026,CalcEntity_0_,
136252,attachment_common_link_vcard_0_,squirrelmail_attachments_finished_handling
161712,sqimap_run_command_list_0_,color;squirrelmail_language
67505,mail_fetch_link_0_,
188340,charset_decode_iso_8859_13_0_,
122806,search_3_,
141240,translateText_0_,color;what;where
157626,parseString_0_,
130183,sq_mt_randomize_0_,
